Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765647626,50,,Aggregated,24.000000,0.000000,7,8,8,9,11,12,16,25,38,47,47,3551,0,7,8.374360791052142,6.3650609999967855,47.069795000425074,83.1686848774993
1765647627,50,,Aggregated,23.500000,0.000000,7,8,8,9,11,12,16,25,38,47,47,3574,0,7,8.369467064640649,6.3650609999967855,47.069795000425074,83.1681589255736
1765647628,50,,Aggregated,24.700000,0.000000,7,8,8,9,11,12,16,25,38,47,47,3607,0,7,8.368825679241962,6.3650609999967855,47.069795000425074,83.16967008594399
1765647629,50,,Aggregated,24.000000,0.000000,7,8,8,9,11,12,16,25,38,47,47,3624,0,7,8.362842295813984,6.3650609999967855,47.069795000425074,83.16942604856513
1765647630,50,,Aggregated,24.500000,0.000000,7,8,8,9,11,12,15,25,38,47,47,3653,0,7,8.362393468937835,6.3650609999967855,47.069795000425074,83.16917601970982
1765647631,50,,Aggregated,25.200000,0.000000,7,8,8,9,11,12,15,25,38,47,47,3675,0,7,8.3598441121171,6.3650609999967855,47.069795000425074,83.17115646258503
1765647632,50,,Aggregated,24.200000,0.000000,7,8,8,9,11,12,15,25,38,47,47,3698,0,7,8.353933383189018,6.3650609999967855,47.069795000425074,83.17225527312061
1765647633,50,,Aggregated,24.900000,0.000000,7,8,8,8,11,12,15,24,38,47,47,3726,0,7,8.347072180631649,6.3650609999967855,47.069795000425074,83.17176596886742
1765647634,50,,Aggregated,24.500000,0.000000,7,8,8,8,11,12,15,24,38,47,47,3749,0,7,8.342076906117551,6.3650609999967855,47.069795000425074,83.1717791411043
1765647635,50,,Aggregated,24.300000,0.000000,7,8,8,8,11,12,15,24,38,47,47,3772,0,7,8.342548290040815,6.3650609999967855,47.069795000425074,83.17046659597031
1765647636,50,,Aggregated,24.800000,0.000000,7,8,8,8,11,12,15,23,38,47,47,3801,0,7,8.337062888722441,6.3650609999967855,47.069795000425074,83.17153380689292
1765647637,50,,Aggregated,25.100000,0.000000,7,8,8,8,11,12,15,23,38,47,47,3823,0,7,8.332108374322848,6.3650609999967855,47.069795000425074,83.17263928851688
